TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
34,152,00:20,11.05,-5.79,19.7,38.7,7.96,5.65,5.65,5.65,74.95,1498.45
62,123,05:40,3.46,-0.41,24.62,28.78,408.68,0.04,0.04,0.04,-32.63,169.9
73,170,19:40,3.68,-4.57,18.13,28.2,394.29,0.01,0.01,0.01,-33.86,158.25
83,137,00:40,6.22,-2.44,18.4,26.9,-16.7,0.01,0.01,0.02,-40.86,599.11
42,57,14:30,8.33,1.11,29.26,38.96,186.1,0.06,0.06,0.06,5.15,998.39
107,65,01:50,4.75,-1.56,26.93,34.33,298.69,0.01,0.01,0.01,-27.41,269.1
22,111,19:40,9.42,0.73,46.9,44.59,58.37,0.85,0.85,0.85,109.55,1273.83
111,126,09:00,4.18,-4.53,25.82,36.23,370.06,0.01,0.01,0.01,-28.15,158.26
85,146,22:00,3.68,-2.34,26.7,31.74,320.79,1.72,1.72,1.72,-35.77,152.61
34,189,00:00,2.32,3.51,9.54,28.09,198.43,0.01,0.01,0.01,-15.84,52.58
65,26,13:20,5.79,-4.62,27.0,38.58,201.14,0.03,0.04,0.04,-16.03,519.97
122,197,08:10,3.85,-4.48,7.99,12.08,-12.03,0.01,0.01,0.01,-97.01,167.33
18,121,21:20,2.36,1.26,30.39,32.12,166.97,0.02,0.02,0.02,-9.81,65.14
41,19,06:20,9.15,0.13,23.29,26.16,268.7,9.71,9.71,9.71,23.83,771.6
119,145,13:50,4.13,-0.29,27.74,29.61,278.36,26.29,27.0,27.0,-11.07,126.98
97,19,09:50,9.07,2.94,26.32,29.6,108.67,12.35,12.35,12.35,31.99,572.35
124,131,13:30,4.71,-3.13,29.13,31.31,242.72,0.01,0.01,0.01,11.25,212.31
18,42,04:50,5.49,1.5,26.15,32.7,373.58,0.01,0.01,0.01,-146.58,336.19
52,211,04:40,9.31,-4.17,-2.06,9.19,221.15,9.12,9.12,9.12,-210.94,727.91
73,207,23:40,4.0,-5.71,-1.6,11.95,231.17,0.01,0.01,0.01,-96.73,236.99
75,202,23:10,10.78,-4.17,9.0,19.81,-3.62,7.7,7.7,7.7,131.12,1215.67
119,239,15:30,8.56,1.81,3.09,9.68,260.49,0.06,0.06,0.06,138.36,1182.33
109,179,11:50,9.91,-0.25,12.69,24.06,343.31,36.0,37.41,37.41,-10.19,293.04
99,58,20:00,7.05,2.49,29.65,30.16,130.02,0.05,0.04,0.04,-30.8,487.01
33,135,03:10,7.2,-5.7,19.23,27.77,106.4,0.01,0.01,0.01,-105.73,725.44
26,119,14:20,8.98,2.08,29.83,35.78,268.12,1.13,1.13,1.13,74.61,1143.43
44,42,09:00,5.01,0.67,25.0,31.4,167.1,0.01,0.01,0.01,-119.19,431.94
83,19,22:20,6.83,-19.4,26.67,31.79,336.82,90.37,90.36,90.36,0.0,0.0
132,220,19:50,4.18,-6.11,1.79,17.7,87.89,0.01,0.01,0.01,-69.24,205.78
132,179,14:30,9.1,-0.62,15.83,30.07,66.0,0.03,0.03,0.03,-46.12,973.34
36,17,05:10,6.93,-7.07,29.97,39.88,-3.86,0.01,0.02,0.02,83.64,681.06
91,119,00:40,4.75,0.78,26.19,31.76,-200.39,1.49,1.49,1.49,-26.28,271.2
42,16,21:10,4.5,-4.76,28.96,41.15,395.27,0.01,0.01,0.01,-56.56,189.38
58,52,22:20,2.79,67.06,27.78,31.57,372.14,89.74,89.76,89.77,-0.3,0.0
88,151,04:10,9.08,-0.69,22.2,30.08,-35.15,0.4,0.4,0.4,1.98,1228.3
42,91,16:40,10.94,-82.13,33.01,38.19,259.67,90.38,90.05,90.38,0.0,0.0
128,216,19:50,4.14,0.89,-4.05,0.5,348.07,0.03,0.03,0.02,-79.44,250.97
52,148,19:30,5.73,0.31,29.42,32.31,-30.57,0.01,0.01,0.01,-66.38,379.04
29,152,02:20,11.07,0.27,19.94,35.13,1.77,3.96,3.96,3.96,72.89,1480.46
129,221,18:50,5.98,-5.12,1.93,5.53,42.74,0.04,0.04,0.04,-71.2,491.66
46,217,06:00,8.22,-4.86,-3.7,15.34,45.35,0.05,0.05,0.05,74.52,1090.21
87,131,18:30,4.49,2.05,32.69,34.32,62.79,0.02,0.04,0.04,13.74,238.64
80,175,11:00,8.74,1.01,17.94,28.31,388.16,1.74,1.74,1.74,-15.07,1055.43
83,42,21:20,6.35,4.56,28.42,36.77,233.87,0.01,0.05,0.01,2.7,591.97
79,113,13:10,3.7,-4.19,26.54,30.45,366.05,0.02,0.02,0.02,-4.38,128.8
27,118,18:10,7.57,-2.42,41.8,46.46,-21.13,0.03,0.02,0.02,36.99,640.86
3,19,03:00,12.34,-0.31,24.2,36.95,205.39,17.29,17.29,17.29,4.75,442.88
20,29,02:30,10.49,-4.79,20.13,33.66,224.69,3.26,3.27,3.26,119.51,1443.15
27,48,01:40,6.43,6.35,31.77,36.23,-62.04,0.01,0.01,0.01,-39.68,474.03
52,234,21:40,2.44,9.21,0.0,8.03,50.37,0.03,0.03,0.03,6.37,66.15
4,95,16:20,10.34,-0.21,40.64,42.44,387.04,3.79,3.79,3.79,96.4,1321.9
125,179,05:40,7.7,-4.4,7.0,26.85,346.7,0.95,0.95,0.95,-82.08,1070.36
105,76,00:00,3.74,-4.49,34.4,39.64,-50.4,0.01,0.01,0.01,-17.34,109.89
30,103,06:20,3.95,0.13,30.72,37.81,278.1,-0.44,-0.44,-0.44,20.25,162.21
124,95,14:50,8.44,-0.8,37.61,42.01,208.09,86.3,86.45,86.37,-0.3,0.0
87,36,23:20,6.99,0.37,35.47,38.59,208.56,0.13,0.13,0.13,-92.04,572.22
87,154,14:10,2.96,2.11,19.69,22.87,400.76,0.01,0.01,0.01,-21.69,99.1
84,10,01:20,10.45,-4.38,18.54,23.56,129.41,14.5,14.5,14.5,7.12,293.53
109,186,20:10,3.14,0.67,18.94,29.55,107.96,0.01,0.01,0.01,-39.68,102.53
107,151,18:40,6.98,1.62,23.0,29.64,-43.93,3.87,3.87,3.87,-79.24,415.49
82,27,12:50,7.75,-26.39,25.39,27.8,167.43,90.36,90.34,90.36,0.0,0.0
84,139,14:40,5.61,-0.42,27.61,30.55,7.31,0.01,0.01,0.01,-70.2,306.93
37,234,22:00,2.52,7.65,-0.46,11.3,431.18,0.03,0.03,0.02,-8.64,99.1
16,52,02:20,2.06,-7.24,32.93,36.52,301.31,0.01,0.01,0.01,-8.66,40.39
129,201,08:10,2.88,-0.31,5.46,6.94,261.95,0.04,0.03,0.03,-29.83,128.28
10,138,08:50,5.94,-1.58,19.4,24.44,310.7,3.85,3.85,3.85,-77.35,400.44
35,144,05:10,7.94,3.56,24.4,30.06,230.46,0.02,0.01,0.01,-206.45,1039.55
80,191,03:50,1.25,-11.85,12.32,26.65,247.49,89.64,89.7,89.68,-0.3,0.0
22,88,03:30,2.35,4.26,41.35,36.14,410.29,0.01,0.01,0.01,1.88,56.32
82,89,09:10,8.13,-0.25,33.97,41.09,340.1,0.19,0.18,0.18,102.71,912.43
86,120,21:30,6.91,2.21,26.19,28.96,147.82,0.04,0.04,0.04,-82.36,610.09
122,68,05:10,5.13,-4.86,29.83,33.13,285.54,0.01,0.01,0.01,-65.38,236.88
